eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unRxVehicleHeading,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024052414294244802,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294243106,2022042906531773905,2024052414294244802,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.432568,9759,59,60,313,0x89e8be87,2024052414294243653,2022042903263436467,2024052414294244994,547,-3268337438,192,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,0,1,0,0,0,7.999979,37.403472,127.160112,129.432568,0,9759,0,100.000,0.000
1,31,23120008,2024052414294254822,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294253129,2022042906531783915,2024052414294254822,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.531616,9760,60,0,313,0xcae0a639,2024052414294254153,2022042903263446967,2024052414294255060,1024,-3268336948,238,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,7.999979,37.403472,127.160112,129.531616,0,9760,0,100.000,0.000
1,31,23120008,2024052414294264840,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294263130,2022042906531793928,2024052414294264840,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.539704,9761,61,0,313,0xc847fb68,2024052414294263803,2022042903263456618,2024052414294265138,673,-3268337310,298,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,7.999979,37.403472,127.160112,129.539704,0,9761,0,100.000,0.000
1,31,23120008,2024052414294274852,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294273139,2022042906531803952,2024052414294274852,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.563768,9762,62,0,313,0xa1aca32c,2024052414294273758,2022042903263466573,2024052414294275216,619,-3268337379,364,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,7.999979,37.403472,127.160112,129.563768,0,9762,0,100.000,0.000
1,31,23120008,2024052414294284869,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294283137,2022042906531813954,2024052414294284869,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.628680,9763,63,0,313,0x57c24f0d,2024052414294283654,2022042903263476470,2024052414294285294,517,-3268337484,425,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,7.999979,37.403472,127.160112,129.628680,0,9763,0,100.000,0.000
1,31,23120008,2024052414294294881,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294293263,2022042906531823978,2024052414294294881,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.625248,9764,64,0,313,0xbd1f1abe,2024052414294293953,2022042903263486770,2024052414294295368,690,-3268337208,487,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,7.999979,37.403472,127.160112,129.625248,0,9764,0,100.000,0.000
1,31,23120008,2024052414294304900,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294303256,2022042906531833989,2024052414294304900,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.638584,9765,65,0,313,0x56962c55,2024052414294304370,2022042903263497186,2024052414294305450,1114,-3268336803,550,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,7.999979,37.403472,127.160112,129.638584,0,9765,0,100.000,0.000
1,31,23120008,2024052414294314914,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294313247,2022042906531844057,2024052414294314914,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.667920,9766,66,0,313,0xff0d47f2,2024052414294313952,2022042903263506766,2024052414294315527,705,-3268337291,613,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,7.999979,37.403472,127.160112,129.667920,0,9766,0,100.000,0.000
1,31,23120008,2024052414294324931,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294323215,2022042906531854023,2024052414294324931,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.676304,9767,67,0,313,0x5343b791,2024052414294323608,2022042903263516424,2024052414294324594,393,-3268337599,-337,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,7.999979,37.403472,127.160112,129.676304,0,9767,0,100.000,0.000
1,31,23120008,2024052414294334948,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294333220,2022042906531864044,2024052414294334948,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.719680,9768,68,0,313,0x170ee7ac,2024052414294333859,2022042903263526676,2024052414294334663,639,-3268337368,-285,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,7.999979,37.403472,127.160112,129.719680,0,9768,0,100.000,0.000
1,31,23120008,2024052414294344965,1,1,9,101,1,1.5,0x1,0x1,128,2024052414294343249,2022042906531874056,2024052414294344965,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160112,129.723880,9769,69,0,313,0x49a310a5,2024052414294344059,2022042903263536876,2024052414294345737,810,-3268337180,772,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,7.999979,37.403472,127.160112,129.723880,0,9769,0,100.000,0.000
