eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,eChannel,sPower,eBandwidth,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23040015,2024042417381588339,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381588339,0,180,20,2,100,0.000000,0.000000,0.000000,96,96,0,0,0xcc299dd3
1,31,23040015,2024042417381598353,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381598353,0,180,20,2,100,0.000000,0.000000,0.000000,97,97,0,0,0xfb9c697a
1,31,23040015,2024042417381608367,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381608367,0,180,20,2,100,0.000000,0.000000,0.000000,98,98,0,0,0xf799f353
1,31,23040015,2024042417381618381,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381618381,0,180,20,2,100,0.000000,0.000000,0.000000,99,99,0,0,0xd62b9aad
1,31,23040015,2024042417381628394,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381628394,0,180,20,2,100,0.000000,0.000000,0.000000,100,100,0,0,0x4b9ea6d6
1,31,23040015,2024042417381638409,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381638409,0,180,20,2,100,0.000000,0.000000,0.000000,101,1,0,0,0x549e7195
1,31,23040015,2024042417381648422,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381648422,0,180,20,2,100,0.000000,0.000000,0.000000,102,2,0,0,0x50629799
1,31,23040015,2024042417381658434,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381658434,0,180,20,2,100,0.000000,0.000000,0.000000,103,3,0,0,0x32ea54c
1,31,23040015,2024042417381668447,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381668447,0,180,20,2,100,0.000000,0.000000,0.000000,104,4,0,0,0x9659b84c
1,31,23040015,2024042417381678460,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381678460,0,180,20,2,100,0.000000,0.000000,0.000000,105,5,0,0,0x9a774de7
1,31,23040015,2024042417381688472,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381688472,0,180,20,2,100,0.000000,0.000000,0.000000,106,6,0,0,0x97c8deca
1,31,23040015,2024042417381698485,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381698485,0,180,20,2,100,0.000000,0.000000,0.000000,107,7,0,0,0x5b78ef5b
1,31,23040015,2024042417381708498,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381708498,0,180,20,2,100,0.000000,0.000000,0.000000,108,8,0,0,0x33c8669f
1,31,23040015,2024042417381718511,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381718511,0,180,20,2,100,0.000000,0.000000,0.000000,109,9,0,0,0x997c63ab
1,31,23040015,2024042417381728525,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381728525,0,180,20,2,100,0.000000,0.000000,0.000000,110,10,0,0,0x7dc10a28
1,31,23040015,2024042417381738537,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381738537,0,180,20,2,100,0.000000,0.000000,0.000000,111,11,0,0,0x24be303d
1,31,23040015,2024042417381748550,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381748550,0,180,20,2,100,0.000000,0.000000,0.000000,112,12,0,0,0x928b6763
1,31,23040015,2024042417381758563,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381758563,0,180,20,2,100,0.000000,0.000000,0.000000,113,13,0,0,0xcd772649
1,31,23040015,2024042417381768576,1,1,9,101,1,1.5,0x1,0x1,132,0,0,2024042417381768576,0,180,20,2,100,0.000000,0.000000,0.000000,114,14,0,0,0xf26a9bd6
