eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23040015,2024052116205513801,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052116205513801,0,5915,20,20,0,0,100,37.403476,127.160088,133.652712,1,1,60,0,0xaad18a88
1,31,23040015,2024052116205523825,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052116205523825,0,5915,20,20,0,0,100,37.403476,127.160088,133.653808,2,2,60,0,0x4aeff00e
1,31,23040015,2024052116205533884,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052116205533884,0,5915,20,20,0,0,100,37.403476,127.160088,133.660200,3,3,60,0,0x47d5efd9
1,31,23040015,2024052116205543943,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052116205543943,0,5915,20,20,0,0,100,37.403476,127.160088,133.666592,4,4,60,0,0x9ef3fe78
1,31,23040015,2024052116205553988,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052116205553988,0,5915,20,20,0,0,100,37.403476,127.160088,133.669384,5,5,60,0,0x88637652
1,31,23040015,2024052116205564031,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052116205564031,0,5915,20,20,0,0,100,37.403476,127.160088,133.678112,6,6,60,0,0x55cbeea5
1,31,23040015,2024052116205574052,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052116205574052,0,5915,20,20,0,0,100,37.403476,127.160088,133.689424,7,7,60,0,0xf3683da1
1,31,23040015,2024052116205584090,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052116205584090,0,5915,20,20,0,0,100,37.403476,127.160088,133.685656,8,8,60,0,0x7105305
1,31,23040015,2024052116205594112,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052116205594112,0,5915,20,20,0,0,100,37.403476,127.160088,133.692288,9,9,60,0,0x8c990dc3
1,31,23040015,2024052116205604133,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052116205604133,0,5915,20,20,0,0,100,37.403476,127.160088,133.685392,10,10,60,0,0x8edaf30b
