eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024052413481310796,1,1,9,101,1,1.5,0x1,0x1,128,2024052413481309461,2022042906114835374,2024052413481310796,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403464,127.160112,128.975664,742,42,60,0,0x703a62aa,2024052413481310458,2022042902450498805,9223372036854775807,997,-3664336569,7199319623373465011,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,1,0,0,0,7.662290,37.403464,127.160112,128.975664,0,742,0,100.000,0.000
1,31,23120008,2024052413481320809,1,1,9,101,1,1.5,0x1,0x1,128,2024052413481319494,2022042906114845392,2024052413481320809,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403464,127.160112,128.971880,743,43,0,0,0x463e53ad,2024052413481319817,2022042902450508163,9223372036854775807,323,-3664337229,7199319623373454998,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,7.662290,37.403464,127.160112,128.971880,0,743,0,100.000,0.000
1,31,23120008,2024052413481330824,1,1,9,101,1,1.5,0x1,0x1,128,2024052413481329510,2022042906114855402,2024052413481330824,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403464,127.160112,128.967640,744,44,0,0,0xb8673273,2024052413481330513,2022042902450518861,9223372036854775807,1003,-3664336541,7199319623373444983,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,7.662290,37.403464,127.160112,128.967640,0,744,0,100.000,0.000
1,31,23120008,2024052413481340840,1,1,9,101,1,1.5,0x1,0x1,128,2024052413481339529,2022042906114865423,2024052413481340840,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403464,127.160112,128.981784,745,45,0,0,0x5e4d2535,2024052413481340111,2022042902450528459,9223372036854775807,582,-3664336964,7199319623373434967,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,7.662290,37.403464,127.160112,128.981784,0,745,0,100.000,0.000
1,31,23120008,2024052413481350854,1,1,9,101,1,1.5,0x1,0x1,128,2024052413481349543,2022042906114875437,2024052413481350854,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403464,127.160112,128.983280,746,46,0,0,0x795983d6,2024052413481350180,2022042902450538529,9223372036854775807,637,-3664336908,7199319623373424953,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,7.662290,37.403464,127.160112,128.983280,0,746,0,100.000,0.000
1,31,23120008,2024052413481360870,1,1,9,101,1,1.5,0x1,0x1,128,2024052413481359591,2022042906114885458,2024052413481360870,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403464,127.160112,128.987808,747,47,0,0,0x4b83914,2024052413481359961,2022042902450548316,9223372036854775807,370,-3664337142,7199319623373414937,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,7.662290,37.403464,127.160112,128.987808,0,747,0,100.000,0.000
1,31,23120008,2024052413481370885,1,1,9,101,1,1.5,0x1,0x1,128,2024052413481369553,2022042906114895474,2024052413481370885,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403464,127.160112,128.979000,748,48,0,0,0x6f8746bd,2024052413481370624,2022042902450558973,9223372036854775807,1071,-3664336501,7199319623373404922,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,7.662290,37.403464,127.160112,128.979000,0,748,0,100.000,0.000
1,31,23120008,2024052413481380902,1,1,9,101,1,1.5,0x1,0x1,128,2024052413481379602,2022042906114905488,2024052413481380902,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403464,127.160112,128.986832,749,49,0,0,0x66bffab0,2024052413481380111,2022042902450568460,9223372036854775807,509,-3664337028,7199319623373394905,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,7.662290,37.403464,127.160112,128.986832,0,749,0,100.000,0.000
1,31,23120008,2024052413481390918,1,1,9,101,1,1.5,0x1,0x1,128,2024052413481389636,2022042906114915510,2024052413481390918,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403464,127.160112,128.993304,750,50,0,0,0x2755061b,2024052413481389864,2022042902450578212,9223372036854775807,228,-3664337298,7199319623373384889,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,7.662290,37.403464,127.160112,128.993304,0,750,0,100.000,0.000
1,31,23120008,2024052413481400935,1,1,9,101,1,1.5,0x1,0x1,128,2024052413481399611,2022042906114925529,2024052413481400935,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403464,127.160112,128.989880,751,51,0,0,0xce4951d,2024052413481400512,2022042902450588859,9223372036854775807,901,-3664336670,7199319623373374872,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,7.662290,37.403464,127.160112,128.989880,0,751,0,100.000,0.000
