eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unRxVehicleHeading,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024052416011689387,1,1,9,101,1,1.5,0x1,0x1,128,2024052416011685272,2022042908245226796,2024052416011689387,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403460,127.160040,123.785504,26659,59,60,138,0x42649c77,2024052416011686153,2022042903283131906,2024052416011687282,881,-4962094890,-2105,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,359,1,0,0,0,2.729861,37.403460,127.160040,123.785504,0,26659,0,100.000,0.000
1,31,23120008,2024052416011699404,1,1,9,101,1,1.5,0x1,0x1,128,2024052416011695287,2022042908245236807,2024052416011699404,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403460,127.160040,123.780152,26660,60,0,138,0x14fb25d5,2024052416011696303,2022042903283142055,2024052416011697326,1016,-4962094752,-2078,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,2.729861,37.403460,127.160040,123.780152,0,26660,0,100.000,0.000
1,31,23120008,2024052416011709420,1,1,9,101,1,1.5,0x1,0x1,128,2024052416011705302,2022042908245246827,2024052416011709420,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403460,127.160040,123.779184,26661,61,0,138,0x7a11bb1f,2024052416011705752,2022042903283151509,2024052416011706392,450,-4962095318,-3028,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,2.729861,37.403460,127.160040,123.779184,0,26661,0,100.000,0.000
1,31,23120008,2024052416011719435,1,1,9,101,1,1.5,0x1,0x1,128,2024052416011715327,2022042908245256853,2024052416011719435,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403460,127.160040,123.772856,26662,62,0,138,0x786191b7,2024052416011716121,2022042903283161876,2024052416011717470,794,-4962094977,-1965,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,2.729861,37.403460,127.160040,123.772856,0,26662,0,100.000,0.000
1,31,23120008,2024052416011729456,1,1,9,101,1,1.5,0x1,0x1,128,2024052416011725353,2022042908245266874,2024052416011729456,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403460,127.160040,123.773288,26663,63,0,138,0x741558ce,2024052416011726308,2022042903283172060,2024052416011727541,955,-4962094814,-1915,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,2.729861,37.403460,127.160040,123.773288,0,26663,0,100.000,0.000
1,31,23120008,2024052416011739478,1,1,9,101,1,1.5,0x1,0x1,128,2024052416011735361,2022042908245276894,2024052416011739478,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403460,127.160040,123.767656,26664,64,0,138,0xa55a62b4,2024052416011735752,2022042903283181506,2024052416011736610,391,-4962095388,-2868,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,2.729861,37.403460,127.160040,123.767656,0,26664,0,100.000,0.000
1,31,23120008,2024052416011749495,1,1,9,101,1,1.5,0x1,0x1,128,2024052416011745414,2022042908245286907,2024052416011749495,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403460,127.160040,123.762976,26665,65,0,138,0x248c61c1,2024052416011746358,2022042903283192114,2024052416011747685,944,-4962094793,-1810,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,2.729861,37.403460,127.160040,123.762976,0,26665,0,100.000,0.000
1,31,23120008,2024052416011759509,1,1,9,101,1,1.5,0x1,0x1,128,2024052416011755415,2022042908245296921,2024052416011759509,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403460,127.160040,123.756080,26666,66,0,138,0xbc920363,2024052416011756103,2022042903283201856,2024052416011756745,688,-4962095065,-2764,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,2.729861,37.403460,127.160040,123.756080,0,26666,0,100.000,0.000
1,31,23120008,2024052416011769523,1,1,9,101,1,1.5,0x1,0x1,128,2024052416011765521,2022042908245306945,2024052416011769523,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403460,127.160040,123.755168,26667,67,0,138,0x6a6d3f87,2024052416011765803,2022042903283211556,2024052416011766813,282,-4962095389,-2710,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,2.729861,37.403460,127.160040,123.755168,0,26667,0,100.000,0.000
1,31,23120008,2024052416011779540,1,1,9,101,1,1.5,0x1,0x1,128,2024052416011775428,2022042908245316959,2024052416011779540,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403460,127.160040,123.754456,26668,68,0,138,0x9d710e90,2024052416011775952,2022042903283221705,2024052416011776880,524,-4962095254,-2660,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,359,1,0,0,0,2.729861,37.403460,127.160040,123.754456,0,26668,0,100.000,0.000
