eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unRxVehicleHeading,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024052913320299024,1,1,9,101,1,1.5,0x1,0x1,128,2024052913320289014,2022042902574283943,2024052913320299024,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.336396,127.117064,90.481992,7424,24,60,225,0x1bdc3f88,2024052913320289907,2022042902435261937,2024052913320300144,893,-139022006,1120,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,90,1,0,0,0,11.890497,37.336476,127.116976,86.172136,0,7424,0,100.000,0.000
1,31,23120008,2024052913320309035,1,1,9,101,1,1.5,0x1,0x1,128,2024052913320299019,2022042902574293922,2024052913320309035,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.336396,127.117064,90.487784,7425,25,0,225,0x5d879138,2024052913320299566,2022042902435271594,2024052913320310295,547,-139022328,1260,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,11.890497,37.336476,127.116976,86.178536,0,7425,0,100.000,0.000
1,31,23120008,2024052913320319051,1,1,9,101,1,1.5,0x1,0x1,128,2024052913320319027,2022042902574313954,2024052913320319051,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.336396,127.117064,90.475832,7426,26,0,225,0xcf3cc984,2024052913320319460,2022042902435291482,2024052913320320444,433,-139022472,1393,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,11.890497,37.336476,127.116976,86.172992,0,7426,0,100.000,0.000
1,31,23120008,2024052913320329065,1,1,9,101,1,1.5,0x1,0x1,128,2024052913320329048,2022042902574323982,2024052913320329065,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.336396,127.117064,90.477544,7427,27,0,225,0x981f175e,2024052913320330060,2022042902435302087,2024052913320330526,1012,-139021895,1461,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,11.890497,37.336476,127.116976,86.177224,0,7427,0,100.000,0.000
1,31,23120008,2024052913320339076,1,1,9,101,1,1.5,0x1,0x1,128,2024052913320339036,2022042902574333983,2024052913320339076,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.336396,127.117064,90.489752,7428,28,0,225,0xda6bce59,2024052913320339412,2022042902435311438,2024052913320339597,376,-139022545,521,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,11.890497,37.336476,127.116976,86.184616,0,7428,0,100.000,0.000
1,31,23120008,2024052913320349091,1,1,9,101,1,1.5,0x1,0x1,128,2024052913320349052,2022042902574343994,2024052913320349091,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.336396,127.117064,90.479368,7429,29,0,225,0x7eeb1094,2024052913320350011,2022042902435322038,2024052913320350684,959,-139021956,1593,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,11.890497,37.336476,127.116976,86.193432,0,7429,0,100.000,0.000
1,31,23120008,2024052913320359103,1,1,9,101,1,1.5,0x1,0x1,128,2024052913320359074,2022042902574354010,2024052913320359103,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.336396,127.117064,90.484568,7430,30,0,225,0xfc6bba4f,2024052913320359758,2022042902435331786,2024052913320360762,684,-139022224,1659,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,11.890497,37.336476,127.116976,86.194848,0,7430,0,100.000,0.000
1,31,23120008,2024052913320369118,1,1,9,101,1,1.5,0x1,0x1,128,2024052913320369110,2022042902574364040,2024052913320369118,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.336396,127.117064,90.473808,7431,31,0,225,0xe5df673a,2024052913320369716,2022042902435341747,2024052913320370842,606,-139022293,1724,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,11.890497,37.336476,127.116976,86.196904,0,7431,0,100.000,0.000
1,31,23120008,2024052913320379131,1,1,9,101,1,1.5,0x1,0x1,128,2024052913320379114,2022042902574374049,2024052913320379131,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.336396,127.117064,90.479008,7432,32,0,225,0x62eb3892,2024052913320379307,2022042902435351336,2024052913320379915,193,-139022713,784,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,11.890497,37.336476,127.116976,86.204600,0,7432,0,100.000,0.000
1,31,23120008,2024052913320389143,1,1,9,101,1,1.5,0x1,0x1,128,2024052913320389155,2022042902574384065,2024052913320389143,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.336396,127.117064,90.490816,7433,33,0,225,0x6509eba6,2024052913320389365,2022042902435361397,2024052913320389993,210,-139022668,850,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,11.890497,37.336476,127.116976,86.206768,0,7433,0,100.000,0.000
