eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23040015,2024052116214376092,1,1,9,101,1,1.5,0x1,0x1,128,2024052116214378992,2022042903570013438,2024052116214376092,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160088,133.688936,1,1,60,0,0xe312bf41,2024052116214379606,2022042902454198258,9223372036854775807,614,-1115815180,7199319920640399715,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,1,0,0,0,8.381990,37.403472,127.160088,133.688936,0,1,0,100.000,0.000
1,31,23040015,2024052116214386182,1,1,9,101,1,1.5,0x1,0x1,128,2024052116214388964,2022042903570023449,2024052116214386182,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160088,133.690416,2,2,60,0,0xb6e5dd5d,2024052116214389752,2022042902454208388,9223372036854775807,788,-1115815061,7199319920640389625,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,8.381990,37.403472,127.160088,133.690416,0,2,0,100.000,0.000
1,31,23040015,2024052116214396274,1,1,9,101,1,1.5,0x1,0x1,128,2024052116214399012,2022042903570033485,2024052116214396274,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160088,133.697216,3,3,60,0,0x1ad26ab1,2024052116214399902,2022042902454218537,9223372036854775807,890,-1115814948,7199319920640379533,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,8.381990,37.403472,127.160088,133.697216,0,3,0,100.000,0.000
1,31,23040015,2024052116214406358,1,1,9,101,1,1.5,0x1,0x1,128,2024052116214409029,2022042903570043526,2024052116214406358,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160088,133.703216,4,4,60,0,0xecbf1db7,2024052116214410077,2022042902454228717,9223372036854775807,1048,-1115814809,7199319920640369449,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,8.381990,37.403472,127.160088,133.703216,0,4,0,100.000,0.000
1,31,23040015,2024052116214416442,1,1,9,101,1,1.5,0x1,0x1,128,2024052116214419196,2022042903570053560,2024052116214416442,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160088,133.702880,5,5,60,0,0x2f7403ec,2024052116214420203,2022042902454238845,9223372036854775807,1007,-1115814715,7199319920640359365,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,8.381990,37.403472,127.160088,133.702880,0,5,0,100.000,0.000
1,31,23040015,2024052116214426523,1,1,9,101,1,1.5,0x1,0x1,128,2024052116214429105,2022042903570063585,2024052116214426523,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160088,133.707424,6,6,60,0,0x364afd7e,2024052116214429759,2022042902454248401,9223372036854775807,654,-1115815184,7199319920640349284,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,8.381990,37.403472,127.160088,133.707424,0,6,0,100.000,0.000
1,31,23040015,2024052116214436603,1,1,9,101,1,1.5,0x1,0x1,128,2024052116214439146,2022042903570073618,2024052116214436603,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160088,133.707368,7,7,60,0,0x5d0015b6,2024052116214440252,2022042902454258891,9223372036854775807,1106,-1115814727,7199319920640339204,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,8.381990,37.403472,127.160088,133.707368,0,7,0,100.000,0.000
1,31,23040015,2024052116214446679,1,1,9,101,1,1.5,0x1,0x1,128,2024052116214449200,2022042903570083654,2024052116214446679,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160088,133.710376,8,8,60,0,0x27fe63c3,2024052116214450102,2022042902454268742,9223372036854775807,902,-1115814912,7199319920640329128,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,8.381990,37.403472,127.160088,133.710376,0,8,0,100.000,0.000
1,31,23040015,2024052116214456759,1,1,9,101,1,1.5,0x1,0x1,128,2024052116214459266,2022042903570093681,2024052116214456759,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160088,133.713912,9,9,60,0,0x5d26ffab,2024052116214459753,2022042902454278391,9223372036854775807,487,-1115815290,7199319920640319048,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,8.381990,37.403472,127.160088,133.713912,0,9,0,100.000,0.000
1,31,23040015,2024052116214466782,1,1,9,101,1,1.5,0x1,0x1,128,2024052116214469168,2022042903570103654,2024052116214466782,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403472,127.160088,133.718200,10,10,60,0,0xde766b4d,2024052116214469652,2022042902454288290,9223372036854775807,484,-1115815364,7199319920640309025,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,1,0,0,0,8.381990,37.403472,127.160088,133.718200,0,10,0,100.000,0.000
