eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unRxVehicleHeading,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024052415545881296,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545875849,2022042908183416638,2024052415545881296,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.292384,22886,86,60,88,0xe77d5905,2024052415545876552,2022042903221321614,2024052415545877080,703,-4962095024,-4216,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,0,1,0,0,0,23.911020,37.403448,127.160288,126.292384,0,22886,0,100.000,0.000
1,31,23120008,2024052415545891317,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545885858,2022042908183426642,2024052415545891317,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.298320,22887,87,1,88,0x47927243,2024052415545886752,2022042903221331808,2024052415545888174,894,-4962094834,-3143,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.298320,0,22887,0,100.000,0.000
1,31,23120008,2024052415545901334,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545895863,2022042908183436660,2024052415545901334,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.299136,22888,88,1,88,0x4f54f5aa,2024052415545896502,2022042903221341563,2024052415545897237,639,-4962095097,-4097,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.299136,0,22888,0,100.000,0.000
1,31,23120008,2024052415545911352,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545905947,2022042908183446689,2024052415545911352,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.306336,22889,89,1,88,0x229f3cd0,2024052415545906307,2022042903221351369,2024052415545907307,360,-4962095320,-4045,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.306336,0,22889,0,100.000,0.000
1,31,23120008,2024052415545921376,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545915948,2022042908183456706,2024052415545921376,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.301896,22890,90,1,88,0x83f1397d,2024052415545916951,2022042903221362013,2024052415545918380,1003,-4962094693,-2996,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.301896,0,22890,0,100.000,0.000
1,31,23120008,2024052415545931395,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545926055,2022042908183466726,2024052415545931395,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.287840,22891,91,1,88,0x48c2c2c3,2024052415545926851,2022042903221371916,2024052415545927441,796,-4962094810,-3954,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.287840,0,22891,0,100.000,0.000
1,31,23120008,2024052415545941416,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545935984,2022042908183476750,2024052415545941416,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.278216,22892,92,0,88,0x29a10d2f,2024052415545936167,2022042903221381228,2024052415545937508,183,-4962095522,-3908,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.278216,0,22892,0,100.000,0.000
1,31,23120008,2024052415545951438,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545946073,2022042908183486773,2024052415545951438,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.275600,22893,93,0,88,0x72d8d3c1,2024052415545946607,2022042903221391671,2024052415545947575,534,-4962095102,-3863,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.275600,0,22893,0,100.000,0.000
1,31,23120008,2024052415545961460,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545956107,2022042908183496795,2024052415545961460,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.266488,22894,94,0,88,0x8afda1c4,2024052415545956557,2022042903221401618,2024052415545957641,450,-4962095177,-3819,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.266488,0,22894,0,100.000,0.000
1,31,23120008,2024052415545971483,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545966028,2022042908183506809,2024052415545971483,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.269672,22895,95,0,88,0xa9b3b4be,2024052415545966202,2022042903221411263,2024052415545967708,174,-4962095546,-3775,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.269672,0,22895,0,100.000,0.000
1,31,23120008,2024052415545981503,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545976075,2022042908183516833,2024052415545981503,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.258064,22896,96,0,88,0x2abf5c31,2024052415545977102,2022042903221422165,2024052415545977764,1027,-4962094668,-3739,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.258064,0,22896,0,100.000,0.000
1,31,23120008,2024052415545991526,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545986106,2022042908183526859,2024052415545991526,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.263576,22897,97,0,88,0x7a4ffebc,2024052415545986658,2022042903221431716,2024052415545987854,552,-4962095143,-3672,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.263576,0,22897,0,100.000,0.000
1,31,23120008,2024052415550001547,1,1,9,101,1,1.5,0x1,0x1,128,2024052415545996102,2022042908183536879,2024052415550001547,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.268360,22898,98,0,88,0x6e428c83,2024052415545996801,2022042903221441863,2024052415545997923,699,-4962095016,-4003624,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.268360,0,22898,0,100.000,0.000
1,31,23120008,2024052415550011565,1,1,9,101,1,1.5,0x1,0x1,128,2024052415550006152,2022042908183546894,2024052415550011565,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.274632,22899,99,0,88,0x5132b26,2024052415550006752,2022042903221451816,2024052415550007996,600,-4962095078,-3569,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.274632,0,22899,0,100.000,0.000
1,31,23120008,2024052415550021585,1,1,9,101,1,1.5,0x1,0x1,128,2024052415550016111,2022042908183556915,2024052415550021585,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.278056,22900,100,0,88,0x14e49116,2024052415550016406,2022042903221461470,2024052415550017093,295,-4962095445,-4492,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.278056,0,22900,0,100.000,0.000
1,31,23120008,2024052415550031612,1,1,9,101,1,1.5,0x1,0x1,128,2024052415550026177,2022042908183566938,2024052415550031612,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.280192,22901,1,0,88,0xe7b7e73,2024052415550026807,2022042903221471870,2024052415550028194,630,-4962095068,-3418,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.280192,0,22901,0,100.000,0.000
1,31,23120008,2024052415550041635,1,1,9,101,1,1.5,0x1,0x1,128,2024052415550036203,2022042908183576965,2024052415550041635,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.283480,22902,2,0,88,0xf01fbe6,2024052415550036453,2022042903221481518,2024052415550037260,250,-4962095447,-4375,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.283480,0,22902,0,100.000,0.000
1,31,23120008,2024052415550051656,1,1,9,101,1,1.5,0x1,0x1,128,2024052415550046264,2022042908183587003,2024052415550051656,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.289288,22903,3,0,88,0xea70a145,2024052415550046502,2022042903221491569,2024052415550047350,238,-4962095434,-4306,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.289288,0,22903,0,100.000,0.000
1,31,23120008,2024052415550061678,1,1,9,101,1,1.5,0x1,0x1,128,2024052415550056249,2022042908183597010,2024052415550061678,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.296336,22904,4,0,88,0x6f56436d,2024052415550056703,2022042903221501767,2024052415550057400,454,-4962095243,-4278,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.296336,0,22904,0,100.000,0.000
1,31,23120008,2024052415550071700,1,1,9,101,1,1.5,0x1,0x1,128,2024052415550066280,2022042908183607023,2024052415550071700,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.303184,22905,5,0,88,0xb7000976,2024052415550067002,2022042903221512066,2024052415550068475,722,-4962094957,-3225,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.303184,0,22905,0,100.000,0.000
1,31,23120008,2024052415550081718,1,1,9,101,1,1.5,0x1,0x1,128,2024052415550076300,2022042908183617049,2024052415550081718,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.310376,22906,6,0,88,0xc7f3d768,2024052415550076802,2022042903221521865,2024052415550077537,502,-4962095184,-4181,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.310376,0,22906,0,100.000,0.000
1,31,23120008,2024052415550091743,1,1,9,101,1,1.5,0x1,0x1,128,2024052415550086305,2022042908183627069,2024052415550091743,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.317784,22907,7,0,88,0xf465d289,2024052415550086853,2022042903221531914,2024052415550087603,548,-4962095155,-4140,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.317784,0,22907,0,100.000,0.000
1,31,23120008,2024052415550101764,1,1,9,101,1,1.5,0x1,0x1,128,2024052415550096304,2022042908183637088,2024052415550101764,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403448,127.160288,126.321968,22908,8,0,88,0x871c13dc,2024052415550096658,2022042903221541723,2024052415550097685,354,-4962095365,-4079,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,0,1,0,0,0,23.911020,37.403448,127.160288,126.321968,0,22908,0,100.000,0.000
