eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unRxVehicleHeading,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024052913200694363,1,1,9,101,1,1.5,0x1,0x1,128,2024052913200694240,2022042902454687829,2024052913200694363,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.319576,127.127840,187.554064,276,76,60,273,0xf3a5745a,2024052913200694808,2022042902454645232,2024052913200694464,568,-42597,101,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,90,1,0,0,0,10.348368,37.319540,127.127728,184.983184,0,276,0,100.000,0.000
1,31,23120008,2024052913200704377,1,1,9,101,1,1.5,0x1,0x1,128,2024052913200704275,2022042902454697849,2024052913200704377,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.319576,127.127840,187.550608,277,77,0,273,0x96b629cd,2024052913200705205,2022042902454655629,2024052913200705543,930,-42220,1166,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,10.348368,37.319540,127.127728,184.979840,0,277,0,100.000,0.000
1,31,23120008,2024052913200714400,1,1,9,101,1,1.5,0x1,0x1,128,2024052913200714288,2022042902454707861,2024052913200714400,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.319576,127.127840,187.552432,278,78,0,273,0x60ae19ef,2024052913200714660,2022042902454665084,2024052913200714594,372,-42777,194,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,10.348368,37.319540,127.127728,184.979216,0,278,0,100.000,0.000
1,31,23120008,2024052913200724413,1,1,9,101,1,1.5,0x1,0x1,128,2024052913200724302,2022042902454717882,2024052913200724413,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.319580,127.127840,187.551472,279,79,0,273,0xdce012ed,2024052913200724706,2022042902454675131,2024052913200724669,404,-42751,256,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,10.518693,37.319540,127.127728,184.982816,0,279,0,100.000,0.000
1,31,23120008,2024052913200734427,1,1,9,101,1,1.5,0x1,0x1,128,2024052913200734326,2022042902454727898,2024052913200734427,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.319580,127.127840,187.551200,280,80,0,273,0xeedc55f9,2024052913200735411,2022042902454685836,2024052913200735782,1085,-42062,1355,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,10.518693,37.319540,127.127728,184.976208,0,280,0,100.000,0.000
1,31,23120008,2024052913200744440,1,1,9,101,1,1.5,0x1,0x1,128,2024052913200744332,2022042902454737910,2024052913200744440,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.319580,127.127840,187.547952,281,81,0,273,0x4f6cf51,2024052913200745206,2022042902454695632,2024052913200744855,874,-42278,415,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,10.518693,37.319540,127.127728,184.976208,0,281,0,100.000,0.000
1,31,23120008,2024052913200754453,1,1,9,101,1,1.5,0x1,0x1,128,2024052913200754348,2022042902454747930,2024052913200754453,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.319580,127.127840,187.546160,282,82,1,273,0x77ec15f5,2024052913200755071,2022042902454705495,2024052913200754932,723,-42435,479,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,10.518693,37.319540,127.127728,184.974176,0,282,0,100.000,0.000
1,31,23120008,2024052913200764469,1,1,9,101,1,1.5,0x1,0x1,128,2024052913200764361,2022042902454757942,2024052913200764469,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.319580,127.127840,187.546048,283,83,1,273,0xcf6a7291,2024052913200764854,2022042902454715280,2024052913200765004,493,-42662,535,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,10.518693,37.319540,127.127728,184.974656,0,283,0,100.000,0.000
1,31,23120008,2024052913200774482,1,1,9,101,1,1.5,0x1,0x1,128,2024052913200774381,2022042902454767952,2024052913200774482,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.319580,127.127840,187.544512,284,84,1,273,0x7bee08e9,2024052913200775260,2022042902454725687,2024052913200775074,879,-42265,592,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,10.518693,37.319540,127.127728,184.971456,0,284,0,100.000,0.000
1,31,23120008,2024052913200784496,1,1,9,101,1,1.5,0x1,0x1,128,2024052913200784403,2022042902454777968,2024052913200784496,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.319580,127.127840,187.543424,285,85,1,273,0x6352dbf6,2024052913200784705,2022042902454735133,2024052913200785154,302,-42835,658,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,10.518693,37.319540,127.127728,184.971824,0,285,0,100.000,0.000
