eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unRxVehicleHeading,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024052416135205959,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135203355,2022042908372746346,2024052416135205959,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.225336,34196,96,60,248,0xaabe9cc6,2024052416135204304,2022042903410651437,2024052416135157922,949,-4962094909,-48037,-836521982,23120002,23120002,8448,204,1,45058,51330,1,60,90,1,0,0,0,5.763475,37.403480,127.160064,127.225336,0,34196,0,100.000,0.000
1,31,23120008,2024052416135215981,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135213378,2022042908372756369,2024052416135215981,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.219272,34197,97,2,248,0xaee7d458,2024052416135214122,2022042903410661259,2024052416135166994,744,-4962095110,-48987,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.219272,0,34197,0,100.000,0.000
1,31,23120008,2024052416135226001,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135223388,2022042908372766388,2024052416135226001,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.219928,34198,98,2,248,0xf9c1556f,2024052416135224154,2022042903410671292,2024052416135177064,766,-4962095096,-48937,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.219928,0,34198,0,100.000,0.000
1,31,23120008,2024052416135236023,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135233403,2022042908372776412,2024052416135236023,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.201864,34199,99,2,248,0x8e8c75a4,2024052416135233958,2022042903410681099,2024052416135187129,555,-4962095313,-48894,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.201864,0,34199,0,100.000,0.000
1,31,23120008,2024052416135246044,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135243513,2022042908372786435,2024052416135246044,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.205776,34200,100,2,248,0x15b2b6f6,2024052416135243760,2022042903410690899,2024052416135197195,247,-4962095536,-48849,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.205776,0,34200,0,100.000,0.000
1,31,23120008,2024052416135256066,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135253423,2022042908372796452,2024052416135256066,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.196328,34201,1,2,248,0x46769d8b,2024052416135254159,2022042903410701299,2024052416135207266,736,-4962095153,-48800,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.196328,0,34201,0,100.000,0.000
1,31,23120008,2024052416135266087,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135263482,2022042908372806473,2024052416135266087,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.178168,34202,2,0,248,0xb092e0fe,2024052416135263854,2022042903410710998,2024052416135217339,372,-4962095475,-48748,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.178168,0,34202,0,100.000,0.000
1,31,23120008,2024052416135276109,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135273497,2022042908372816499,2024052416135276109,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.174568,34203,3,0,248,0x6ddd4e3d,2024052416135274354,2022042903410721498,2024052416135227409,857,-4962095001,-48700,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.174568,0,34203,0,100.000,0.000
1,31,23120008,2024052416135286133,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135283519,2022042908372826523,2024052416135286133,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.172696,34204,4,0,248,0x3989bc55,2024052416135284603,2022042903410731743,2024052416135237475,1084,-4962094780,-48658,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.172696,0,34204,0,100.000,0.000
1,31,23120008,2024052416135296157,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135293527,2022042908372836544,2024052416135296157,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.172208,34205,5,0,248,0xa61812aa,2024052416135294370,2022042903410741515,2024052416135247553,843,-4962095029,-48604,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.172208,0,34205,0,100.000,0.000
1,31,23120008,2024052416135306178,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135303548,2022042908372846568,2024052416135306178,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.174584,34206,6,0,248,0xca2a5323,2024052416135304010,2022042903410751143,2024052416135257650,462,-4962095425,-48528,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.174584,0,34206,0,100.000,0.000
1,31,23120008,2024052416135316200,1,1,9,101,1,1.5,0x1,0x1,128,2024052416135313569,2022042908372856580,2024052416135316200,-836521977,23120008,23120008,8448,204,0,1,40,0,0,5915,20,20,30,72,100,37.403480,127.160064,127.172360,34207,7,0,248,0xb621695a,2024052416135314371,2022042903410761518,2024052416135267723,802,-4962095062,-48477,-836521982,23120002,23120002,8448,204,1,45058,51330,1,0,90,1,0,0,0,5.763475,37.403480,127.160064,127.172360,0,34207,0,100.000,0.000
