eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23120002,2024052415361799530,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361799530,0,5915,20,20,0,0,100,37.403472,127.159832,127.813768,1,1,60,0,0x24a0ee87
1,31,23120002,2024052415361809557,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361809557,0,5915,20,20,0,0,100,37.403472,127.159832,127.809304,2,2,60,8,0x8228fba9
1,31,23120002,2024052415361819571,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361819571,0,5915,20,20,0,0,100,37.403472,127.159832,127.810296,3,3,60,8,0xefda036f
1,31,23120002,2024052415361829589,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361829589,0,5915,20,20,0,0,100,37.403472,127.159832,127.804984,4,4,60,8,0x261b772b
1,31,23120002,2024052415361839608,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361839608,0,5915,20,20,0,0,100,37.403472,127.159832,127.802784,5,5,60,8,0xbf0634f4
1,31,23120002,2024052415361849627,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361849627,0,5915,20,20,0,0,100,37.403472,127.159832,127.802704,6,6,60,8,0x79fd984f
1,31,23120002,2024052415361859646,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361859646,0,5915,20,20,0,0,100,37.403472,127.159832,127.798616,7,7,60,8,0xfa720997
1,31,23120002,2024052415361869666,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361869666,0,5915,20,20,0,0,100,37.403472,127.159832,127.796552,8,8,60,8,0x984e1258
1,31,23120002,2024052415361879684,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361879684,0,5915,20,20,0,0,100,37.403472,127.159832,127.794768,9,9,60,8,0x85d08726
1,31,23120002,2024052415361889703,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361889703,0,5915,20,20,0,0,100,37.403472,127.159832,127.791832,10,10,60,8,0x94ab5c3c
1,31,23120002,2024052415361899720,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361899720,0,5915,20,20,0,0,100,37.403472,127.159832,127.792448,11,11,60,8,0xbf8cf396
1,31,23120002,2024052415361909749,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361909749,0,5915,20,20,0,0,100,37.403472,127.159832,127.791288,12,12,0,8,0xf2ee6e68
1,31,23120002,2024052415361919769,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361919769,0,5915,20,20,0,0,100,37.403472,127.159832,127.789336,13,13,0,8,0xac333a05
1,31,23120002,2024052415361929788,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361929788,0,5915,20,20,0,0,100,37.403472,127.159832,127.783928,14,14,0,8,0xd9867ba6
1,31,23120002,2024052415361939808,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361939808,0,5915,20,20,0,0,100,37.403472,127.159832,127.782528,15,15,0,8,0x48202f6
1,31,23120002,2024052415361949829,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361949829,0,5915,20,20,0,0,100,37.403472,127.159832,127.779040,16,16,0,8,0xb8fe58bf
1,31,23120002,2024052415361959848,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361959848,0,5915,20,20,0,0,100,37.403472,127.159832,127.779040,17,17,0,8,0x7011d726
1,31,23120002,2024052415361969867,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361969867,0,5915,20,20,0,0,100,37.403472,127.159832,127.780016,18,18,0,8,0x208913
1,31,23120002,2024052415361979887,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361979887,0,5915,20,20,0,0,100,37.403472,127.159832,127.774624,19,19,0,8,0xaf3126d3
1,31,23120002,2024052415361989908,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361989908,0,5915,20,20,0,0,100,37.403472,127.159832,127.771760,20,20,0,8,0xa11e5a65
1,31,23120002,2024052415361999932,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415361999932,0,5915,20,20,0,0,100,37.403472,127.159832,127.769776,21,21,0,8,0x4490156f
1,31,23120002,2024052415362009956,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362009956,0,5915,20,20,0,0,100,37.403472,127.159832,127.767360,22,22,0,8,0xea219b54
1,31,23120002,2024052415362019978,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362019978,0,5915,20,20,0,0,100,37.403472,127.159832,127.765896,23,23,0,8,0x6af2f5e7
1,31,23120002,2024052415362029996,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362029996,0,5915,20,20,0,0,100,37.403472,127.159832,127.764776,24,24,0,8,0xa7bb8bb5
1,31,23120002,2024052415362040015,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362040015,0,5915,20,20,0,0,100,37.403472,127.159832,127.761944,25,25,0,8,0x90f5472a
1,31,23120002,2024052415362050034,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362050034,0,5915,20,20,0,0,100,37.403472,127.159832,127.756952,26,26,0,8,0xbd5635b
1,31,23120002,2024052415362060051,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362060051,0,5915,20,20,0,0,100,37.403472,127.159832,127.756968,27,27,0,8,0xa7f439eb
1,31,23120002,2024052415362070071,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362070071,0,5915,20,20,0,0,100,37.403472,127.159832,127.754784,28,28,0,8,0x2c241b79
1,31,23120002,2024052415362080088,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362080088,0,5915,20,20,0,0,100,37.403472,127.159832,127.752856,29,29,0,8,0x60f2190e
1,31,23120002,2024052415362090106,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362090106,0,5915,20,20,0,0,100,37.403472,127.159832,127.751672,30,30,0,8,0xb93d9c45
1,31,23120002,2024052415362100127,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362100127,0,5915,20,20,0,0,100,37.403472,127.159832,127.753944,31,31,0,8,0xe61de4c3
1,31,23120002,2024052415362110147,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362110147,0,5915,20,20,0,0,100,37.403472,127.159832,127.752552,32,32,0,8,0xb13e5355
1,31,23120002,2024052415362120169,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052415362120169,0,5915,20,20,0,0,100,37.403472,127.159832,127.754184,33,33,0,8,0x9179f401
