eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32
1,31,23040015,2024052113224882509,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224882509,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,1,1,60,0,0x57cdb39c
1,31,23040015,2024052113224892551,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224892551,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,2,2,60,0,0x450ea792
1,31,23040015,2024052113224902604,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224902604,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,3,3,60,0,0x438cad54
1,31,23040015,2024052113224912642,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224912642,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,4,4,60,0,0xc52d7db7
1,31,23040015,2024052113224922679,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224922679,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,5,5,60,0,0x7eaa0763
1,31,23040015,2024052113224932717,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224932717,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,6,6,60,0,0xcb1a3f6d
1,31,23040015,2024052113224942731,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224942731,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,7,7,60,0,0x65df396a
1,31,23040015,2024052113224952762,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224952762,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,8,8,60,0,0xa4fe5705
1,31,23040015,2024052113224962794,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224962794,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,9,9,60,0,0x4be5d316
1,31,23040015,2024052113224972806,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224972806,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,10,10,60,0,0xc2af8a77
1,31,23040015,2024052113224982816,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224982816,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,11,11,60,0,0x4ea19c03
1,31,23040015,2024052113224992828,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113224992828,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,12,12,0,0,0x8d2e3db7
1,31,23040015,2024052113225002837,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225002837,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,13,13,0,0,0x6d4c09c3
1,31,23040015,2024052113225012846,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225012846,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,14,14,0,0,0xffaf466a
1,31,23040015,2024052113225022855,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225022855,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,15,15,0,0,0x90ea806d
1,31,23040015,2024052113225032864,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225032864,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,16,16,0,0,0x2625c56f
1,31,23040015,2024052113225042873,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225042873,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,17,17,0,0,0xaf44d700
1,31,23040015,2024052113225052882,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225052882,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,18,18,0,0,0xa7756cda
1,31,23040015,2024052113225062891,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225062891,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,19,19,0,0,0x4820fa78
1,31,23040015,2024052113225072899,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225072899,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,20,20,0,0,0x1d1cadf9
1,31,23040015,2024052113225082908,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225082908,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,21,21,0,0,0x42d0aa1
1,31,23040015,2024052113225092917,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225092917,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,22,22,0,0,0xee716158
1,31,23040015,2024052113225102926,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225102926,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,23,23,0,0,0x1a68c766
1,31,23040015,2024052113225112935,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225112935,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,24,24,0,0,0xd74453f9
1,31,23040015,2024052113225122943,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225122943,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,25,25,0,0,0x4f78c1ab
1,31,23040015,2024052113225132952,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225132952,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,26,26,0,0,0xd93ebd35
1,31,23040015,2024052113225142961,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225142961,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,27,27,0,0,0xa5039bbb
1,31,23040015,2024052113225152969,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225152969,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,28,28,0,0,0x6321aba7
1,31,23040015,2024052113225162978,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225162978,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,29,29,0,0,0x5f4a4080
1,31,23040015,2024052113225172988,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225172988,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,30,30,0,0,0x69ae550e
1,31,23040015,2024052113225182996,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225182996,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,31,31,0,0,0xae935e15
1,31,23040015,2024052113225193005,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225193005,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,32,32,0,0,0x15e60941
1,31,23040015,2024052113225203014,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225203014,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,33,33,0,0,0xeee9ec3
1,31,23040015,2024052113225213023,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225213023,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,34,34,0,0,0x65f38fbc
1,31,23040015,2024052113225223033,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225223033,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,35,35,0,0,0x7bf330a8
1,31,23040015,2024052113225233044,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225233044,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,36,36,0,0,0xf5544489
1,31,23040015,2024052113225243054,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225243054,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,37,37,0,0,0x904d9e39
1,31,23040015,2024052113225253064,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225253064,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,38,38,0,0,0x4fd18714
1,31,23040015,2024052113225263074,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225263074,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,39,39,0,0,0x6adbec41
1,31,23040015,2024052113225273084,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225273084,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,40,40,0,0,0x60a61725
1,31,23040015,2024052113225283095,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225283095,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,41,41,0,0,0x5e21e18e
1,31,23040015,2024052113225293106,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225293106,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,42,42,0,0,0x505ad6f4
1,31,23040015,2024052113225303118,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225303118,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,43,43,0,0,0x56b8f462
1,31,23040015,2024052113225313128,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225313128,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,44,44,0,0,0xa6ecf1a0
1,31,23040015,2024052113225323137,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225323137,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,45,45,0,0,0xf34ee15b
1,31,23040015,2024052113225333147,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225333147,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,46,46,0,0,0x37e60aae
1,31,23040015,2024052113225343157,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225343157,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,47,47,0,0,0x871c6840
1,31,23040015,2024052113225353167,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225353167,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,48,48,0,0,0x778cb7ab
1,31,23040015,2024052113225363177,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225363177,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,49,49,0,0,0xa20296d7
1,31,23040015,2024052113225373187,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225373187,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,50,50,0,0,0x2de1a209
1,31,23040015,2024052113225383197,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225383197,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,51,51,0,0,0xa73e1b86
1,31,23040015,2024052113225393207,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225393207,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,52,52,0,0,0xf2fddd7a
1,31,23040015,2024052113225403216,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225403216,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,53,53,0,0,0x57a7ff96
1,31,23040015,2024052113225413226,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225413226,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,54,54,0,0,0x1fbbc9b6
1,31,23040015,2024052113225423236,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225423236,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,55,55,0,0,0xd0a53273
1,31,23040015,2024052113225433246,1,1,9,101,1,1.5,0x1,0x1,128,0,0,2024052113225433246,0,5915,20,20,0,0,100,0.000000,0.000000,0.000000,56,56,0,0,0xefa570c7
